nume_actiune,timestamp
REGISTER_CLIENT_Ioana,2025-06-04 23:23:22
VIEW_CLIENT_RESERVATIONS_mihai,2025-06-04 23:25:52
SEARCH_CLIENT_mihai,2025-06-04 23:26:28
VIEW_AVAILABLE_CARS,2025-06-04 23:26:52
CREATE_RESERVATION_ID_2,2025-06-04 23:27:16
SEARCH_CLIENT_mihai,2025-06-04 23:31:48
VIEW_AVAILABLE_CARS,2025-06-04 23:32:15
CREATE_RESERVATION_ID_3,2025-06-04 23:32:20
PROMOTE_CLIENT_TO_VIP_Mihai,2025-06-04 23:32:20
VIEW_VIP_CLIENTS,2025-06-04 23:32:29
SEARCH_CLIENT_Alexandru-Gabriel,2025-06-05 00:25:18
SEARCH_CLIENT_al,2025-06-05 00:27:16
VIEW_ALL_CARS,2025-06-05 09:34:50
VIEW_ALL_CARS,2025-06-05 09:51:23
REGISTER_CLIENT_andrei,2025-06-05 09:51:52
SEARCH_CLIENT_dsad,2025-06-05 09:53:15
SEARCH_CLIENT_ale,2025-06-05 09:53:32
VIEW_AVAILABLE_CARS,2025-06-05 09:54:01
CREATE_RESERVATION_ID_4,2025-06-05 09:54:24
SEARCH_CLIENT_ale,2025-06-05 09:55:26
SEARCH_CLIENT_al,2025-06-05 09:59:36
REGISTER_CLIENT_alin,2025-06-06 12:49:05
SEARCH_CLIENT_,2025-06-06 12:49:59
REMOVE_CLIENT_li,2025-06-06 12:50:47
VIEW_AVAILABLE_CARS,2025-08-04 22:09:39
